junction,hour,day_of_week,weather,vehicles,congestion_score,high_congestion
Sector 4,5,Tue,Foggy,207,3.0,0
Surajpole,13,Sat,Rainy,94,1.4,0
Bapu Bazaar,5,Sat,Foggy,195,2.8,0
Delhi Gate,1,Sat,Cloudy,255,3.7,0
Udiapole,0,Mon,Clear,111,1.6,0
Surajpole,9,Sat,Rainy,554,8.1,1
Fatehsagar,20,Mon,Cloudy,149,2.2,0
Hathi Pol,4,Sat,Foggy,261,3.8,0
Bapu Bazaar,1,Wed,Foggy,101,1.5,0
Surajpole,21,Tue,Cloudy,68,1.0,0
Chetak Circle,15,Wed,Clear,158,2.3,0
Chetak Circle,1,Sat,Clear,93,1.4,0
Sector 4,9,Tue,Rainy,441,6.4,0
Hathi Pol,1,Tue,Foggy,298,4.3,0
Udiapole,15,Sun,Cloudy,221,3.2,0
Delhi Gate,15,Thu,Clear,166,2.4,0
Udiapole,18,Wed,Rainy,311,4.5,0
Udiapole,6,Thu,Foggy,83,1.2,0
Udiapole,21,Tue,Foggy,243,3.5,0
Hathi Pol,11,Mon,Rainy,118,1.7,0
Udiapole,23,Tue,Rainy,104,1.5,0
Fatehsagar,14,Thu,Clear,59,0.9,0
Hathi Pol,7,Wed,Cloudy,273,4.0,0
Fatehsagar,5,Sat,Foggy,91,1.3,0
Hathi Pol,9,Sun,Cloudy,393,5.7,0
Sector 4,2,Sun,Foggy,254,3.7,0
Surajpole,18,Sun,Foggy,506,7.4,1
Chetak Circle,16,Sat,Cloudy,246,3.6,0
Udiapole,6,Sun,Rainy,171,2.5,0
Sector 4,20,Wed,Clear,187,2.7,0
Surajpole,19,Sat,Foggy,401,5.8,0
Chetak Circle,3,Sun,Rainy,151,2.2,0
Bapu Bazaar,13,Sat,Foggy,268,3.9,0
Delhi Gate,19,Thu,Clear,410,6.0,0
Fatehsagar,21,Wed,Foggy,177,2.6,0
Bapu Bazaar,14,Fri,Clear,228,3.3,0
Hathi Pol,23,Mon,Clear,198,2.9,0
Chetak Circle,7,Sun,Foggy,185,2.7,0
Bapu Bazaar,20,Mon,Foggy,242,3.5,0
Delhi Gate,14,Sat,Clear,141,2.1,0
Sector 4,21,Mon,Rainy,162,2.4,0
Chetak Circle,19,Wed,Cloudy,631,9.2,1
Bapu Bazaar,13,Wed,Clear,127,1.8,0
Fatehsagar,8,Tue,Foggy,318,4.6,0
Fatehsagar,7,Sun,Foggy,79,1.1,0
Surajpole,16,Tue,Rainy,262,3.8,0
Bapu Bazaar,1,Mon,Cloudy,98,1.4,0
Udiapole,23,Fri,Clear,58,0.8,0
Bapu Bazaar,2,Tue,Clear,194,2.8,0
Sector 4,7,Tue,Cloudy,118,1.7,0
Chetak Circle,11,Wed,Clear,107,1.6,0
Chetak Circle,0,Fri,Cloudy,234,3.4,0
Sector 4,9,Sat,Foggy,284,4.1,0
Bapu Bazaar,19,Mon,Cloudy,449,6.5,0
Sector 4,2,Tue,Clear,101,1.5,0
Delhi Gate,5,Fri,Cloudy,238,3.5,0
Hathi Pol,6,Sun,Rainy,89,1.3,0
Sector 4,19,Fri,Foggy,592,8.6,1
Fatehsagar,22,Mon,Foggy,220,3.2,0
Sector 4,17,Fri,Cloudy,469,6.8,0
Chetak Circle,10,Fri,Clear,577,8.4,1
Fatehsagar,18,Fri,Rainy,442,6.4,0
Chetak Circle,4,Sun,Foggy,99,1.4,0
Surajpole,18,Tue,Foggy,418,6.1,0
Udiapole,10,Mon,Clear,548,8.0,1
Chetak Circle,23,Sun,Clear,127,1.8,0
Fatehsagar,11,Fri,Rainy,297,4.3,0
Surajpole,9,Fri,Cloudy,538,7.8,1
Chetak Circle,7,Tue,Clear,239,3.5,0
Delhi Gate,23,Mon,Cloudy,270,3.9,0
Sector 4,8,Wed,Rainy,423,6.2,0
Udiapole,3,Sun,Cloudy,226,3.3,0
Chetak Circle,4,Tue,Foggy,85,1.2,0
Surajpole,20,Mon,Cloudy,171,2.5,0
Delhi Gate,7,Sun,Rainy,157,2.3,0
Bapu Bazaar,22,Fri,Rainy,59,0.9,0
Surajpole,8,Mon,Rainy,500,7.3,1
Sector 4,14,Mon,Cloudy,55,0.8,0
Surajpole,14,Sat,Foggy,106,1.5,0
Delhi Gate,15,Mon,Clear,178,2.6,0
Surajpole,13,Wed,Foggy,120,1.7,0
Delhi Gate,7,Mon,Cloudy,235,3.4,0
Chetak Circle,17,Wed,Cloudy,561,8.2,1
Hathi Pol,9,Fri,Clear,234,3.4,0
Delhi Gate,19,Wed,Cloudy,539,7.8,1
Delhi Gate,5,Sun,Rainy,176,2.6,0
Udiapole,11,Fri,Rainy,129,1.9,0
Delhi Gate,1,Fri,Rainy,105,1.5,0
Delhi Gate,6,Wed,Rainy,287,4.2,0
Bapu Bazaar,15,Tue,Rainy,264,3.8,0
Hathi Pol,2,Thu,Cloudy,165,2.4,0
Chetak Circle,12,Mon,Clear,197,2.9,0
Sector 4,2,Sat,Clear,279,4.1,0
Udiapole,17,Thu,Rainy,606,8.8,1
Bapu Bazaar,10,Mon,Cloudy,234,3.4,0
Fatehsagar,7,Mon,Foggy,205,3.0,0
Hathi Pol,5,Fri,Foggy,54,0.8,0
Chetak Circle,0,Mon,Cloudy,169,2.5,0
Chetak Circle,0,Sat,Rainy,70,1.0,0
Fatehsagar,22,Mon,Clear,67,1.0,0
Sector 4,7,Wed,Cloudy,224,3.3,0
Delhi Gate,4,Thu,Foggy,247,3.6,0
Bapu Bazaar,15,Wed,Foggy,106,1.5,0
Surajpole,10,Sat,Foggy,484,7.0,0
Udiapole,4,Mon,Rainy,68,1.0,0
Surajpole,3,Sun,Foggy,177,2.6,0
Fatehsagar,5,Sat,Cloudy,146,2.1,0
Chetak Circle,13,Fri,Cloudy,242,3.5,0
Sector 4,21,Wed,Foggy,286,4.2,0
Chetak Circle,18,Wed,Cloudy,408,5.9,0
Udiapole,8,Tue,Foggy,586,8.5,1
Chetak Circle,11,Mon,Foggy,70,1.0,0
Chetak Circle,10,Fri,Clear,540,7.9,1
Udiapole,13,Sun,Rainy,282,4.1,0
Bapu Bazaar,22,Wed,Rainy,89,1.3,0
Bapu Bazaar,15,Wed,Clear,116,1.7,0
Udiapole,0,Fri,Clear,202,2.9,0
Sector 4,12,Sat,Rainy,176,2.6,0
Fatehsagar,22,Sat,Foggy,286,4.2,0
Hathi Pol,20,Mon,Foggy,279,4.1,0
Chetak Circle,20,Tue,Rainy,286,4.2,0
Sector 4,12,Wed,Foggy,104,1.5,0
Chetak Circle,1,Tue,Clear,261,3.8,0
Hathi Pol,3,Sat,Foggy,229,3.3,0
Fatehsagar,5,Sat,Foggy,221,3.2,0
Bapu Bazaar,22,Thu,Cloudy,158,2.3,0
Sector 4,4,Sun,Cloudy,147,2.1,0
Delhi Gate,2,Mon,Cloudy,262,3.8,0
Delhi Gate,0,Thu,Foggy,233,3.4,0
Hathi Pol,3,Sun,Rainy,232,3.4,0
Delhi Gate,19,Thu,Clear,378,5.5,0
Bapu Bazaar,1,Thu,Foggy,264,3.8,0
Hathi Pol,4,Mon,Rainy,247,3.6,0
Bapu Bazaar,2,Mon,Foggy,164,2.4,0
Fatehsagar,8,Fri,Clear,358,5.2,0
Chetak Circle,19,Tue,Foggy,472,6.9,0
Fatehsagar,5,Tue,Clear,290,4.2,0
Fatehsagar,17,Fri,Foggy,512,7.5,1
Bapu Bazaar,5,Fri,Clear,250,3.6,0
Hathi Pol,18,Sat,Foggy,420,6.1,0
Hathi Pol,11,Sun,Clear,115,1.7,0
Delhi Gate,10,Thu,Cloudy,355,5.2,0
Surajpole,1,Fri,Foggy,260,3.8,0
Chetak Circle,14,Wed,Foggy,297,4.3,0
Bapu Bazaar,11,Tue,Rainy,184,2.7,0
Delhi Gate,11,Fri,Rainy,167,2.4,0
Sector 4,8,Wed,Clear,464,6.8,0
Surajpole,20,Wed,Foggy,91,1.3,0
Surajpole,23,Wed,Clear,91,1.3,0
Bapu Bazaar,1,Sat,Cloudy,108,1.6,0
Udiapole,21,Sat,Rainy,69,1.0,0
Chetak Circle,2,Wed,Clear,122,1.8,0
Surajpole,11,Sun,Clear,66,1.0,0
Bapu Bazaar,15,Sat,Rainy,76,1.1,0
Bapu Bazaar,20,Thu,Foggy,224,3.3,0
Delhi Gate,23,Wed,Clear,51,0.7,0
Sector 4,0,Thu,Rainy,112,1.6,0
Udiapole,20,Thu,Foggy,111,1.6,0
Chetak Circle,2,Wed,Cloudy,149,2.2,0
Hathi Pol,19,Tue,Rainy,427,6.2,0
Fatehsagar,1,Sun,Clear,66,1.0,0
Sector 4,8,Wed,Cloudy,493,7.2,1
Sector 4,18,Wed,Foggy,468,6.8,0
Delhi Gate,14,Sat,Foggy,259,3.8,0
Hathi Pol,17,Wed,Rainy,356,5.2,0
Surajpole,10,Tue,Rainy,678,9.9,1
Surajpole,22,Sat,Rainy,248,3.6,0
Delhi Gate,15,Mon,Foggy,130,1.9,0
Bapu Bazaar,21,Mon,Cloudy,88,1.3,0
Surajpole,16,Thu,Foggy,85,1.2,0
Udiapole,4,Sun,Clear,217,3.2,0
Chetak Circle,11,Thu,Foggy,222,3.2,0
Sector 4,10,Tue,Clear,508,7.4,1
Sector 4,14,Fri,Cloudy,279,4.1,0
Udiapole,2,Sun,Rainy,202,2.9,0
Hathi Pol,0,Mon,Rainy,246,3.6,0
Surajpole,19,Thu,Foggy,571,8.3,1
Sector 4,15,Mon,Rainy,253,3.7,0
Fatehsagar,1,Tue,Cloudy,245,3.6,0
Hathi Pol,1,Tue,Rainy,265,3.9,0
Chetak Circle,2,Fri,Foggy,78,1.1,0
Chetak Circle,7,Fri,Cloudy,250,3.6,0
Sector 4,23,Sat,Clear,245,3.6,0
Delhi Gate,14,Sun,Foggy,100,1.5,0
Hathi Pol,6,Tue,Clear,201,2.9,0
Sector 4,5,Thu,Cloudy,63,0.9,0
Delhi Gate,8,Mon,Foggy,466,6.8,0
Sector 4,19,Wed,Foggy,403,5.9,0
Fatehsagar,0,Fri,Cloudy,219,3.2,0
Hathi Pol,7,Wed,Rainy,106,1.5,0
Bapu Bazaar,22,Thu,Foggy,260,3.8,0
Chetak Circle,22,Fri,Foggy,61,0.9,0
Sector 4,2,Wed,Clear,259,3.8,0
Fatehsagar,3,Sun,Rainy,66,1.0,0
Delhi Gate,14,Thu,Clear,79,1.1,0
Delhi Gate,5,Mon,Clear,137,2.0,0
Chetak Circle,14,Sun,Rainy,252,3.7,0
Udiapole,20,Thu,Rainy,148,2.2,0
Sector 4,2,Sat,Cloudy,72,1.0,0
Hathi Pol,20,Fri,Rainy,258,3.8,0
Surajpole,20,Tue,Foggy,178,2.6,0
Delhi Gate,13,Mon,Rainy,128,1.9,0
Hathi Pol,19,Sun,Cloudy,269,3.9,0
Hathi Pol,13,Sun,Cloudy,58,0.8,0
Bapu Bazaar,3,Wed,Cloudy,64,0.9,0
Hathi Pol,11,Fri,Rainy,205,3.0,0
Hathi Pol,16,Tue,Rainy,201,2.9,0
Bapu Bazaar,6,Thu,Clear,237,3.4,0
Delhi Gate,8,Tue,Clear,364,5.3,0
Hathi Pol,2,Fri,Foggy,263,3.8,0
Udiapole,12,Fri,Clear,76,1.1,0
Udiapole,14,Sat,Foggy,260,3.8,0
Fatehsagar,17,Sat,Cloudy,511,7.4,1
Bapu Bazaar,18,Tue,Clear,281,4.1,0
Fatehsagar,0,Thu,Rainy,197,2.9,0
Bapu Bazaar,5,Tue,Clear,114,1.7,0
Sector 4,22,Fri,Foggy,262,3.8,0
Sector 4,1,Fri,Clear,226,3.3,0
Hathi Pol,23,Wed,Cloudy,158,2.3,0
Surajpole,13,Sat,Rainy,178,2.6,0
Sector 4,5,Wed,Foggy,59,0.9,0
Surajpole,13,Mon,Rainy,96,1.4,0
Sector 4,3,Fri,Rainy,172,2.5,0
Chetak Circle,20,Wed,Foggy,108,1.6,0
Sector 4,7,Tue,Rainy,145,2.1,0
Fatehsagar,2,Sat,Rainy,239,3.5,0
Delhi Gate,18,Sat,Clear,350,5.1,0
Hathi Pol,13,Thu,Rainy,173,2.5,0
Fatehsagar,19,Tue,Rainy,310,4.5,0
Delhi Gate,16,Thu,Rainy,195,2.8,0
Udiapole,7,Wed,Rainy,161,2.3,0
Fatehsagar,23,Sun,Foggy,223,3.2,0
Udiapole,13,Mon,Cloudy,209,3.0,0
Surajpole,5,Tue,Clear,76,1.1,0
Surajpole,22,Tue,Rainy,269,3.9,0
Chetak Circle,21,Tue,Rainy,67,1.0,0
Sector 4,15,Thu,Foggy,216,3.1,0
Fatehsagar,18,Wed,Cloudy,536,7.8,1
Udiapole,13,Tue,Rainy,270,3.9,0
Delhi Gate,18,Sun,Foggy,381,5.5,0
Surajpole,2,Tue,Clear,221,3.2,0
Sector 4,9,Sat,Clear,446,6.5,0
Surajpole,18,Mon,Rainy,331,4.8,0
Delhi Gate,8,Sat,Rainy,423,6.2,0
Sector 4,19,Sat,Cloudy,593,8.6,1
Sector 4,12,Mon,Cloudy,120,1.7,0
Udiapole,6,Sun,Rainy,213,3.1,0
Udiapole,13,Wed,Foggy,195,2.8,0
Fatehsagar,8,Sat,Cloudy,363,5.3,0
Fatehsagar,22,Wed,Rainy,236,3.4,0
Bapu Bazaar,18,Sat,Cloudy,534,7.8,1
Hathi Pol,14,Fri,Rainy,250,3.6,0
Bapu Bazaar,19,Mon,Clear,596,8.7,1
Chetak Circle,13,Sat,Rainy,249,3.6,0
Surajpole,23,Fri,Clear,228,3.3,0
Fatehsagar,5,Thu,Cloudy,84,1.2,0
Udiapole,20,Fri,Rainy,131,1.9,0
Delhi Gate,3,Tue,Cloudy,182,2.6,0
Udiapole,7,Sat,Clear,191,2.8,0
Surajpole,16,Fri,Rainy,269,3.9,0
Bapu Bazaar,8,Wed,Cloudy,488,7.1,1
Udiapole,0,Thu,Clear,53,0.8,0
Hathi Pol,23,Sun,Cloudy,216,3.1,0
Chetak Circle,19,Sat,Foggy,430,6.3,0
Surajpole,13,Tue,Clear,241,3.5,0
Bapu Bazaar,10,Sun,Clear,593,8.6,1
Hathi Pol,20,Fri,Clear,205,3.0,0
Delhi Gate,2,Sun,Rainy,253,3.7,0
Bapu Bazaar,8,Sun,Rainy,509,7.4,1
Sector 4,13,Thu,Rainy,284,4.1,0
Hathi Pol,8,Sun,Foggy,568,8.3,1
Hathi Pol,3,Sun,Foggy,199,2.9,0
Chetak Circle,3,Sat,Clear,208,3.0,0
Surajpole,7,Thu,Foggy,72,1.0,0
Delhi Gate,1,Tue,Cloudy,97,1.4,0
Chetak Circle,8,Fri,Clear,378,5.5,0
Bapu Bazaar,13,Thu,Clear,174,2.5,0
Chetak Circle,21,Thu,Cloudy,215,3.1,0
Hathi Pol,8,Mon,Clear,281,4.1,0
Surajpole,23,Thu,Foggy,117,1.7,0
Fatehsagar,22,Mon,Rainy,256,3.7,0
Chetak Circle,15,Fri,Cloudy,137,2.0,0
Sector 4,16,Sun,Foggy,266,3.9,0
Chetak Circle,15,Sat,Cloudy,50,0.7,0
Bapu Bazaar,11,Sat,Cloudy,184,2.7,0
Bapu Bazaar,2,Fri,Clear,234,3.4,0
Delhi Gate,10,Fri,Clear,370,5.4,0
Bapu Bazaar,13,Wed,Foggy,189,2.8,0
Udiapole,17,Sun,Cloudy,305,4.4,0
Surajpole,20,Fri,Clear,182,2.6,0
Surajpole,20,Thu,Clear,157,2.3,0
Fatehsagar,4,Sat,Cloudy,227,3.3,0
Fatehsagar,15,Tue,Foggy,91,1.3,0
Surajpole,19,Sat,Foggy,488,7.1,1
Sector 4,4,Mon,Cloudy,173,2.5,0
Fatehsagar,2,Sat,Foggy,189,2.8,0
Delhi Gate,11,Wed,Clear,152,2.2,0
Bapu Bazaar,0,Sun,Cloudy,195,2.8,0
Surajpole,20,Fri,Clear,243,3.5,0
Hathi Pol,8,Sun,Rainy,328,4.8,0
Fatehsagar,8,Fri,Rainy,440,6.4,0
Surajpole,3,Sat,Foggy,271,3.9,0
Udiapole,2,Tue,Rainy,157,2.3,0
Chetak Circle,16,Tue,Clear,171,2.5,0
Bapu Bazaar,1,Wed,Rainy,66,1.0,0
Surajpole,23,Mon,Clear,245,3.6,0
Chetak Circle,0,Sat,Foggy,120,1.7,0
Fatehsagar,7,Fri,Foggy,111,1.6,0
Chetak Circle,12,Sat,Clear,90,1.3,0
Bapu Bazaar,22,Wed,Rainy,272,4.0,0
Surajpole,14,Thu,Foggy,292,4.3,0
Udiapole,7,Thu,Cloudy,296,4.3,0
Sector 4,11,Wed,Foggy,280,4.1,0
Fatehsagar,21,Fri,Rainy,168,2.4,0
Surajpole,11,Sun,Cloudy,211,3.1,0
Bapu Bazaar,13,Wed,Rainy,247,3.6,0
Fatehsagar,14,Fri,Clear,291,4.2,0
Delhi Gate,14,Tue,Cloudy,279,4.1,0
Chetak Circle,8,Wed,Rainy,355,5.2,0
Sector 4,18,Fri,Cloudy,286,4.2,0
Bapu Bazaar,19,Wed,Rainy,431,6.3,0
Delhi Gate,21,Wed,Cloudy,175,2.5,0
Hathi Pol,7,Sun,Rainy,211,3.1,0
Surajpole,20,Sun,Clear,93,1.4,0
Udiapole,18,Fri,Cloudy,249,3.6,0
Fatehsagar,5,Fri,Cloudy,127,1.8,0
Chetak Circle,19,Mon,Cloudy,517,7.5,1
Fatehsagar,18,Wed,Cloudy,559,8.1,1
Sector 4,3,Thu,Clear,150,2.2,0
Surajpole,22,Wed,Cloudy,291,4.2,0
Fatehsagar,6,Wed,Foggy,209,3.0,0
Chetak Circle,3,Fri,Clear,244,3.6,0
Surajpole,21,Wed,Foggy,52,0.8,0
Fatehsagar,11,Sat,Cloudy,263,3.8,0
Udiapole,12,Wed,Rainy,135,2.0,0
Bapu Bazaar,2,Sat,Foggy,123,1.8,0
Surajpole,21,Sun,Cloudy,100,1.5,0
Bapu Bazaar,11,Thu,Foggy,116,1.7,0
Hathi Pol,1,Fri,Cloudy,125,1.8,0
Surajpole,23,Wed,Cloudy,142,2.1,0
Udiapole,1,Sat,Cloudy,225,3.3,0
Bapu Bazaar,22,Sat,Rainy,194,2.8,0
Delhi Gate,8,Sun,Foggy,422,6.1,0
Chetak Circle,0,Sat,Clear,62,0.9,0
Delhi Gate,7,Tue,Clear,169,2.5,0
Fatehsagar,22,Mon,Clear,115,1.7,0
Udiapole,5,Thu,Clear,53,0.8,0
Delhi Gate,5,Sun,Cloudy,187,2.7,0
Surajpole,21,Sun,Foggy,280,4.1,0
Fatehsagar,17,Wed,Foggy,366,5.3,0
Fatehsagar,16,Tue,Rainy,66,1.0,0
Delhi Gate,11,Wed,Foggy,101,1.5,0
Hathi Pol,5,Wed,Foggy,183,2.7,0
Delhi Gate,7,Fri,Foggy,260,3.8,0
Hathi Pol,18,Fri,Rainy,325,4.7,0
Udiapole,9,Fri,Clear,505,7.4,1
Chetak Circle,0,Tue,Foggy,251,3.7,0
Delhi Gate,12,Wed,Rainy,186,2.7,0
Sector 4,16,Mon,Rainy,268,3.9,0
Hathi Pol,2,Thu,Cloudy,254,3.7,0
Delhi Gate,7,Fri,Rainy,260,3.8,0
Bapu Bazaar,13,Fri,Clear,70,1.0,0
Surajpole,2,Sun,Foggy,73,1.1,0
Sector 4,15,Wed,Rainy,279,4.1,0
Sector 4,12,Wed,Clear,53,0.8,0
Hathi Pol,19,Tue,Rainy,415,6.0,0
Bapu Bazaar,23,Tue,Rainy,236,3.4,0
Bapu Bazaar,16,Fri,Rainy,276,4.0,0
Fatehsagar,12,Wed,Rainy,52,0.8,0
Hathi Pol,5,Mon,Rainy,117,1.7,0
Chetak Circle,16,Thu,Clear,298,4.3,0
Surajpole,13,Wed,Foggy,150,2.2,0
Udiapole,16,Sun,Foggy,217,3.2,0
Sector 4,7,Wed,Foggy,225,3.3,0
Udiapole,10,Sat,Foggy,321,4.7,0
Delhi Gate,19,Tue,Clear,361,5.3,0
Delhi Gate,0,Sun,Cloudy,272,4.0,0
Udiapole,6,Thu,Cloudy,105,1.5,0
Delhi Gate,20,Fri,Clear,157,2.3,0
Chetak Circle,20,Sun,Clear,266,3.9,0
Bapu Bazaar,16,Wed,Rainy,89,1.3,0
Delhi Gate,9,Fri,Rainy,454,6.6,0
Fatehsagar,10,Wed,Rainy,288,4.2,0
Delhi Gate,21,Fri,Foggy,95,1.4,0
Surajpole,8,Thu,Rainy,492,7.2,1
Chetak Circle,8,Tue,Cloudy,446,6.5,0
Surajpole,23,Thu,Foggy,204,3.0,0
Surajpole,4,Sat,Rainy,55,0.8,0
Fatehsagar,16,Mon,Foggy,66,1.0,0
Chetak Circle,8,Tue,Cloudy,471,6.9,0
Chetak Circle,16,Thu,Rainy,281,4.1,0
Hathi Pol,23,Sat,Cloudy,290,4.2,0
Chetak Circle,20,Mon,Cloudy,148,2.2,0
Chetak Circle,18,Sat,Cloudy,395,5.7,0
Chetak Circle,6,Wed,Rainy,282,4.1,0
Fatehsagar,22,Wed,Clear,51,0.7,0
Delhi Gate,8,Fri,Rainy,548,8.0,1
Hathi Pol,6,Tue,Cloudy,126,1.8,0
Surajpole,12,Wed,Rainy,229,3.3,0
Chetak Circle,10,Sun,Cloudy,445,6.5,0
Sector 4,13,Sat,Clear,101,1.5,0
Delhi Gate,18,Tue,Foggy,390,5.7,0
Delhi Gate,10,Sun,Clear,533,7.8,1
Surajpole,12,Wed,Clear,267,3.9,0
Fatehsagar,13,Fri,Foggy,71,1.0,0
Udiapole,12,Thu,Rainy,160,2.3,0
Udiapole,0,Fri,Foggy,156,2.3,0
Delhi Gate,7,Sun,Rainy,232,3.4,0
Bapu Bazaar,11,Mon,Rainy,116,1.7,0
Bapu Bazaar,18,Wed,Cloudy,493,7.2,1
Surajpole,11,Sun,Cloudy,237,3.4,0
Udiapole,7,Mon,Foggy,235,3.4,0
Delhi Gate,7,Mon,Clear,189,2.8,0
Fatehsagar,20,Sat,Foggy,265,3.9,0
Udiapole,12,Tue,Rainy,118,1.7,0
Delhi Gate,11,Sat,Cloudy,133,1.9,0
Delhi Gate,15,Wed,Foggy,152,2.2,0
Chetak Circle,0,Mon,Foggy,88,1.3,0
Fatehsagar,12,Sun,Cloudy,62,0.9,0
Chetak Circle,6,Thu,Cloudy,90,1.3,0
Surajpole,4,Mon,Cloudy,106,1.5,0
Chetak Circle,7,Sun,Rainy,230,3.3,0
Sector 4,13,Thu,Cloudy,286,4.2,0
Chetak Circle,22,Sat,Clear,61,0.9,0
